No Faktur,Tanggal,Nama Outlet,Nama Kasir,Jam,Deskripsi Produk,Modifier,Jumlah Barang,Jumlah dibatalkan,Harga Per Barang,Jumlah Harga,Diskon Per Barang,Tipe Diskon per Barang,Diskon Transaksi,Tipe Diskon Transaksi,Pajak,Subtotal,Status,Metode Pembayaran,No. Referensi
127211VM,27-01-2021,Tovi Kohi,Nadila,21:22:03,"To - Brew,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
12719JD2,27-01-2021,Tovi Kohi,Nadila,19:35:40,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
12719QYS,27-01-2021,Tovi Kohi,Nadila,19:14:32,"Cinnamon Coffee,",,1,0,25000,25000,0,,0,,0,25000,Transaksi,CASH,
127128NL,27-01-2021,Tovi Kohi,Henggar Vyasto,12:52:25,"Coffee Beer,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
12711KPK,27-01-2021,Tovi Kohi,Henggar Vyasto,11:10:41,"Cafe Latte, Original",,1,0,16000,16000,0,,1600,"% ,",0,14400,Transaksi,CASH,
12710EQH,27-01-2021,Tovi Kohi,Henggar Vyasto,10:57:00,"Hazelnut,",,1,0,18000,18000,0,,3600,"% ,",0,14400,Transaksi,CASH,
12710EQH,27-01-2021,Tovi Kohi,Henggar Vyasto,10:57:00,"Cafe Latte, Original",,1,0,16000,16000,0,,3200,"% ,",0,12800,Transaksi,CASH,
12620DLA,26-01-2021,Tovi Kohi,Nadila,20:24:47,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
12620DLA,26-01-2021,Tovi Kohi,Nadila,20:24:47,"Rum,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
12619PTN,26-01-2021,Tovi Kohi,Nadila,19:42:41,"Garlic Bread,",,1,0,10000,10000,0,,2000,"% ,",0,8000,Transaksi,CASH,
1261949L,26-01-2021,Tovi Kohi,Nadila,19:41:59,"Americano, Ice",,1,0,16000,16000,0,,3200,"% ,",0,12800,Transaksi,CASH,
1261949L,26-01-2021,Tovi Kohi,Nadila,19:41:59,"V-60, Original",,1,0,17000,17000,0,,3400,"% ,",0,13600,Transaksi,CASH,
126198JF,26-01-2021,Tovi Kohi,Nadila,19:08:14,"Pink Story, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
12619ZBC,26-01-2021,Tovi Kohi,Nadila,19:07:41,"V-60, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
12619BXQ,26-01-2021,Tovi Kohi,Nadila,19:06:38,"Choco Latte, Ice",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
12619RWP,26-01-2021,Tovi Kohi,Nadila,19:06:16,"Mochacino, Hot",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
126181F5,26-01-2021,Tovi Kohi,Nadila,18:05:46,"Lemon Tea, Ice",,1,0,14000,14000,2800,"% ,",0,,0,11200,Transaksi,CASH,
12618PPX,26-01-2021,Tovi Kohi,Nadila,18:04:28,"Lemon Tea, Ice",,1,0,14000,14000,0,,2800,"% ,",0,11200,Transaksi,CASH,
12618PPX,26-01-2021,Tovi Kohi,Nadila,18:04:28,"Milk Tea, Ice",,1,0,17000,17000,0,,3400,"% ,",0,13600,Transaksi,CASH,
12614TMV,26-01-2021,Tovi Kohi,Nadila,14:19:02,"Vanilla Milk, Ice",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
12614TMV,26-01-2021,Tovi Kohi,Nadila,14:19:02,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
126140HL,26-01-2021,Tovi Kohi,Pipah,14:00:42,"Hazelnut,",,1,0,18000,18000,0,,3600,"% ,",0,14400,Transaksi,CASH,
126140HL,26-01-2021,Tovi Kohi,Pipah,14:00:42,"Cafe Latte, Original",,1,0,16000,16000,0,,3200,"% ,",0,12800,Transaksi,CASH,
126140HL,26-01-2021,Tovi Kohi,Pipah,14:00:42,"Hazelnut,",,1,0,18000,18000,0,,3600,"% ,",0,14400,Transaksi,CASH,
12613Z4S,26-01-2021,Tovi Kohi,Pipah,13:09:51,"Rum,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
12613Z4S,26-01-2021,Tovi Kohi,Pipah,13:09:51,"Indomie Goreng, Telur",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
1251944W,25-01-2021,Tovi Kohi,Nadila,19:37:43,"Lemon Tea, Ice",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
12517JZE,25-01-2021,Tovi Kohi,Nadila,17:27:06,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
12517JZE,25-01-2021,Tovi Kohi,Nadila,17:27:06,"Indomie Rebus, Reguler",,2,0,10000,20000,0,,0,,0,20000,Transaksi,CASH,
12421GK7,24-01-2021,Tovi Kohi,Henggar Vyasto,21:18:23,"V-60, Japstyle",,1,0,18000,18000,0,,367,"Rp ,",0,17633,Transaksi,CASH,
12421GK7,24-01-2021,Tovi Kohi,Henggar Vyasto,21:18:23,"Cafe Latte, Original",,1,0,16000,16000,0,,327,"Rp ,",0,15673,Transaksi,CASH,
12421GK7,24-01-2021,Tovi Kohi,Henggar Vyasto,21:18:23,"Garlic Bread,",,1,0,10000,10000,0,,204,"Rp ,",0,9796,Transaksi,CASH,
12421GK7,24-01-2021,Tovi Kohi,Henggar Vyasto,21:18:23,"Croissant,",,1,0,5000,5000,0,,102,"Rp ,",0,4898,Transaksi,CASH,
12420VED,24-01-2021,Tovi Kohi,Henggar Vyasto,20:45:22,"Gula Aren, Original",,1,0,17000,17000,0,,1700,"% ,",0,15300,Transaksi,CASH,
12420VED,24-01-2021,Tovi Kohi,Henggar Vyasto,20:45:22,"Cafe Latte, Original",,1,0,16000,16000,0,,1600,"% ,",0,14400,Transaksi,CASH,
124184EP,24-01-2021,Tovi Kohi,Henggar Vyasto,18:10:32,"Butter Scotch, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
124184EP,24-01-2021,Tovi Kohi,Henggar Vyasto,18:10:32,"Extra Shoot,",,1,0,2000,2000,0,,0,,0,2000,Transaksi,CASH,
124184EP,24-01-2021,Tovi Kohi,Henggar Vyasto,18:10:32,"Croissant,",,1,0,5000,5000,0,,0,,0,5000,Transaksi,CASH,
12412TXN,24-01-2021,Tovi Kohi,Henggar Vyasto,12:27:25,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
12321KBE,23-01-2021,Tovi Kohi,Nadila,21:12:37,"Mochacino, Hot",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
12321EIW,23-01-2021,Tovi Kohi,Nadila,21:08:19,"Hazelnut,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
12321EIW,23-01-2021,Tovi Kohi,Nadila,21:08:19,"V-60, Japstyle",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
12321FLK,23-01-2021,Tovi Kohi,Nadila,21:03:43,"Lemon Tea, Ice",,1,0,14000,14000,0,,2800,"% ,",0,11200,Transaksi,CASH,
123213IB,23-01-2021,Tovi Kohi,Nadila,21:02:03,"Cappuchino, Classic",,2,0,16000,32000,0,,0,,0,32000,Transaksi,CASH,
12321IUV,23-01-2021,Tovi Kohi,Nadila,21:01:15,"Coffee Beer,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
12321IUV,23-01-2021,Tovi Kohi,Nadila,21:01:15,"Risoles,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
12321IUV,23-01-2021,Tovi Kohi,Nadila,21:01:15,"Hazelnut,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
12319G73,23-01-2021,Tovi Kohi,Nadila,19:34:02,"Lemon Tea, Ice",,1,0,14000,14000,0,,2800,"% ,",0,11200,Transaksi,CASH,
12319AR8,23-01-2021,Tovi Kohi,Nadila,19:18:42,"Croissant,",,2,0,5000,10000,0,,2000,"% ,",0,8000,Transaksi,CASH,
12319AR8,23-01-2021,Tovi Kohi,Nadila,19:18:42,"Lemon Tea, Ice",,1,0,14000,14000,0,,2800,"% ,",0,11200,Transaksi,CASH,
123169R0,23-01-2021,Tovi Kohi,Nadila,16:37:00,"Butter Scotch, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
123169R0,23-01-2021,Tovi Kohi,Nadila,16:37:00,"Coffee Beer,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
12314HGA,23-01-2021,Tovi Kohi,Pipah,14:23:14,"Dragon Tea, Hot",,1,0,10000,10000,0,,0,,0,10000,Transaksi,CASH,
122212M2,22-01-2021,Tovi Kohi,Nadila,21:09:48,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
122212M2,22-01-2021,Tovi Kohi,Nadila,21:09:48,"Matcha Latte, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
12221XGE,22-01-2021,Tovi Kohi,Nadila,21:07:23,"Cafe Latte, Flavour",,1,0,18000,18000,0,,1800,"% ,",0,16200,Transaksi,CASH,
12221O6G,22-01-2021,Tovi Kohi,Nadila,21:06:28,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
122213F3,22-01-2021,Tovi Kohi,Nadila,21:06:11,"Coffee & Cream,",,1,0,20000,20000,0,,4000,"% ,",0,16000,Transaksi,CASH,
12220OPZ,22-01-2021,Tovi Kohi,Nadila,20:50:59,"Dragon Tea, Hot",,1,0,10000,10000,0,,0,,0,10000,Transaksi,CASH,
12220V1Y,22-01-2021,Tovi Kohi,Nadila,20:47:03,"Vietnam Drip, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
12220UGF,22-01-2021,Tovi Kohi,Nadila,20:27:42,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
12220MWR,22-01-2021,Tovi Kohi,Nadila,20:14:57,"Coffee & Cream,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
122173Z0,22-01-2021,Tovi Kohi,Nadila,17:34:17,"Risoles,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
12217L80,22-01-2021,Tovi Kohi,Nadila,17:01:31,"Dragon Tea, Ice",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
12217L80,22-01-2021,Tovi Kohi,Nadila,17:01:31,"Lemon Tea, Ice",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
12216ZMN,22-01-2021,Tovi Kohi,Nadila,16:29:48,"Milk Tea, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
12216ZMN,22-01-2021,Tovi Kohi,Nadila,16:29:48,"Risoles,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
12215T5C,22-01-2021,Tovi Kohi,Nadila,15:06:11,"Garlic Bread,",,1,0,10000,10000,0,,0,,0,10000,Transaksi,CASH,
12215T5C,22-01-2021,Tovi Kohi,Nadila,15:06:11,"Matcha Latte, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
12215PX1,22-01-2021,Tovi Kohi,Nadila,15:04:10,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
12215QPA,22-01-2021,Tovi Kohi,Nadila,15:02:07,"Americano, Ice",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
121217XT,21-01-2021,Tovi Kohi,Nadila,21:39:50,"Lemon Tea, Hot",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
12121UMQ,21-01-2021,Tovi Kohi,Nadila,21:36:00,"Coffee Beer,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
12121UMQ,21-01-2021,Tovi Kohi,Nadila,21:36:00,"Coffee & Cream,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
12120GXV,21-01-2021,Tovi Kohi,Nadila,20:04:18,"Vanilla Milk, Hot",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
1202111F,20-01-2021,Tovi Kohi,Nadila,21:40:18,"Vanilla Milk, Hot",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
12020BRW,20-01-2021,Tovi Kohi,Nadila,20:16:03,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
12020BRW,20-01-2021,Tovi Kohi,Nadila,20:16:03,"Matcha Latte, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
12018UZV,20-01-2021,Tovi Kohi,Nadila,18:19:07,"Pink Story, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
12018UZV,20-01-2021,Tovi Kohi,Nadila,18:19:07,"Vanilla Milk, Hot",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
12018UZV,20-01-2021,Tovi Kohi,Nadila,18:19:07,"Garlic Bread,",,1,0,10000,10000,0,,0,,0,10000,Transaksi,CASH,
12018UZV,20-01-2021,Tovi Kohi,Nadila,18:19:07,"Risoles,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
12017APR,20-01-2021,Tovi Kohi,Nadila,17:02:57,"Pink Story, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
12017APR,20-01-2021,Tovi Kohi,Nadila,17:02:57,"Milk Tea, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
12015KA7,20-01-2021,Tovi Kohi,Pipah,15:03:35,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
120135PF,20-01-2021,Tovi Kohi,Henggar Vyasto,13:34:39,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
119217C5,19-01-2021,Tovi Kohi,Nadila,21:11:57,"Pink Story, Hot",,1,0,15000,15000,0,,1500,"% ,",0,13500,Transaksi,CASH,
119217C5,19-01-2021,Tovi Kohi,Nadila,21:11:57,"Croissant,",,1,0,5000,5000,0,,500,"% ,",0,4500,Transaksi,CASH,
119217C5,19-01-2021,Tovi Kohi,Nadila,21:11:57,"Garlic Bread,",,1,0,10000,10000,0,,1000,"% ,",0,9000,Transaksi,CASH,
11921DZ6,19-01-2021,Tovi Kohi,Nadila,21:09:41,"Cafe Latte, Original",,1,0,16000,16000,0,,1600,"% ,",0,14400,Transaksi,CASH,
11918VJ1,19-01-2021,Tovi Kohi,Nadila,18:54:00,"Choco Latte, Hot",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11900449,19-01-2021,Tovi Kohi,Henggar Vyasto,00:18:10,"Gula Aren, Original",,2,0,17000,34000,0,,0,,0,34000,Transaksi,CASH,
11900F10,19-01-2021,Tovi Kohi,Henggar Vyasto,00:17:59,"Extra Shoot,",,1,0,2000,2000,0,,200,"% ,",0,1800,Transaksi,CASH,
11900F10,19-01-2021,Tovi Kohi,Henggar Vyasto,00:17:59,"Gula Aren, Original",,1,0,17000,17000,0,,1700,"% ,",0,15300,Transaksi,CASH,
11900F10,19-01-2021,Tovi Kohi,Henggar Vyasto,00:17:59,"Croissant,",,3,0,5000,15000,0,,1500,"% ,",0,13500,Transaksi,CASH,
11820XH4,18-01-2021,Tovi Kohi,Nadila,20:28:24,"Vietnam Drip, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11820XH4,18-01-2021,Tovi Kohi,Nadila,20:28:24,"Pink Story, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11820XH4,18-01-2021,Tovi Kohi,Nadila,20:28:24,"Indomie Rebus, Reguler",,2,0,10000,20000,0,,0,,0,20000,Transaksi,CASH,
11819Y2F,18-01-2021,Tovi Kohi,Nadila,19:47:42,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
11817KCB,18-01-2021,Tovi Kohi,Nadila,17:24:45,"Gula Aren, Original",,1,0,17000,17000,0,,1700,"% ,",0,15300,Transaksi,CASH,
11815QE8,18-01-2021,Tovi Kohi,Pipah,15:27:21,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
117228ZC,17-01-2021,Tovi Kohi,Henggar Vyasto,22:10:52,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
117228ZC,17-01-2021,Tovi Kohi,Henggar Vyasto,22:10:52,"V-60, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
117228ZC,17-01-2021,Tovi Kohi,Henggar Vyasto,22:10:52,"Pink Story, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
117228ZC,17-01-2021,Tovi Kohi,Henggar Vyasto,22:10:52,"Milk Tea, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
117228ZC,17-01-2021,Tovi Kohi,Henggar Vyasto,22:10:52,"Garlic Bread,",,1,0,10000,10000,0,,0,,0,10000,Transaksi,CASH,
117228ZC,17-01-2021,Tovi Kohi,Henggar Vyasto,22:10:52,"Croissant,",,2,0,5000,10000,0,,0,,0,10000,Transaksi,CASH,
117228ZC,17-01-2021,Tovi Kohi,Henggar Vyasto,22:10:52,"Risoles,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
11721PVP,17-01-2021,Tovi Kohi,Henggar Vyasto,21:18:19,"Cafe Latte, Original",,1,0,16000,16000,0,,1600,"% ,",0,14400,Transaksi,CASH,
11721ZJM,17-01-2021,Tovi Kohi,Henggar Vyasto,21:17:51,"Coffee Beer,",,1,0,20000,20000,0,,2000,"% ,",0,18000,Transaksi,CASH,
11721ZJM,17-01-2021,Tovi Kohi,Henggar Vyasto,21:17:51,"Americano, Ice",,1,0,16000,16000,0,,1600,"% ,",0,14400,Transaksi,CASH,
11721ZJM,17-01-2021,Tovi Kohi,Henggar Vyasto,21:17:51,"Gula Aren, Original",,1,0,17000,17000,0,,1700,"% ,",0,15300,Transaksi,CASH,
11721KOJ,17-01-2021,Tovi Kohi,Henggar Vyasto,21:04:27,Cafe latte extra shoot,,1,0,21000,21000,0,,0,,0,21000,Transaksi,CASH,
117206F5,17-01-2021,Tovi Kohi,Nadila,20:19:08,"Vanilla Milk, Hot",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
11720E81,17-01-2021,Tovi Kohi,Henggar Vyasto,20:07:31,"Vanilla Milk, Hot",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
1171584Q,17-01-2021,Tovi Kohi,Henggar Vyasto,15:13:48,"Gula Aren, Original",,2,0,17000,34000,0,,0,,0,34000,Transaksi,CASH,
1171584Q,17-01-2021,Tovi Kohi,Henggar Vyasto,15:13:48,"Pink Story, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11622KV8,16-01-2021,Tovi Kohi,Nadila,22:04:01,"Choco Latte, Hot",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11622KV8,16-01-2021,Tovi Kohi,Nadila,22:04:01,"Vanilla Milk, Hot",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
11622CJ7,16-01-2021,Tovi Kohi,Henggar Vyasto,22:02:58,"Cafe Latte, Original",,1,0,16000,16000,0,,1600,"% ,",0,14400,Transaksi,CASH,
11621FGT,16-01-2021,Tovi Kohi,Nadila,21:40:35,"Coffee Beer,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
11621FGT,16-01-2021,Tovi Kohi,Nadila,21:40:35,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
11621FGT,16-01-2021,Tovi Kohi,Nadila,21:40:35,"Risoles,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
11621FGT,16-01-2021,Tovi Kohi,Nadila,21:40:35,"Garlic Bread,",,1,0,10000,10000,0,,0,,0,10000,Transaksi,CASH,
11621FGT,16-01-2021,Tovi Kohi,Nadila,21:40:35,"Coffee Beer,",,2,0,20000,40000,0,,0,,0,40000,Transaksi,CASH,
11620U6Q,16-01-2021,Tovi Kohi,Nadila,20:13:38,"Cafe Latte, Original",,1,0,16000,16000,0,,615,"Rp ,",0,15385,Transaksi,CASH,
11620U6Q,16-01-2021,Tovi Kohi,Nadila,20:13:38,"Garlic Bread,",,1,0,10000,10000,0,,385,"Rp ,",0,9615,Transaksi,CASH,
11617IUV,16-01-2021,Tovi Kohi,Nadila,17:57:38,"Americano, Hot",,1,0,14000,14000,0,,1400,"% ,",0,12600,Transaksi,CASH,
11617IUV,16-01-2021,Tovi Kohi,Nadila,17:57:38,"Croissant,",,1,0,5000,5000,0,,500,"% ,",0,4500,Transaksi,CASH,
11616NHJ,16-01-2021,Tovi Kohi,Nadila,16:05:36,"Garlic Bread,",,1,0,10000,10000,0,,0,,0,10000,Transaksi,CASH,
116165XZ,16-01-2021,Tovi Kohi,Nadila,16:03:59,"Pink Story, Ice",,1,0,17000,17000,0,,3400,"% ,",0,13600,Transaksi,CASH,
116165XZ,16-01-2021,Tovi Kohi,Nadila,16:03:59,"Lemon Tea, Ice",,2,0,14000,28000,0,,5600,"% ,",0,22400,Transaksi,CASH,
116165XZ,16-01-2021,Tovi Kohi,Nadila,16:03:59,"Coffee & Cream,",,1,0,20000,20000,0,,4000,"% ,",0,16000,Transaksi,CASH,
11521V9P,15-01-2021,Tovi Kohi,Nadila,21:14:21,"Cappuchino, Classic",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
11520WH9,15-01-2021,Tovi Kohi,Nadila,20:07:31,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11520WH9,15-01-2021,Tovi Kohi,Nadila,20:07:31,"Risoles,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
11519T8F,15-01-2021,Tovi Kohi,Nadila,19:42:20,"Croissant,",,3,0,5000,15000,0,,0,,0,15000,Transaksi,CASH,
11518QKV,15-01-2021,Tovi Kohi,Nadila,18:43:27,"Choco Latte, Hot",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11518QKV,15-01-2021,Tovi Kohi,Nadila,18:43:27,"Coffee & Cream,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
11518QKV,15-01-2021,Tovi Kohi,Nadila,18:43:27,"Americano, Ice",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
11518QKV,15-01-2021,Tovi Kohi,Nadila,18:43:27,lemon,,1,0,1000,1000,0,,0,,0,1000,Transaksi,CASH,
1151813N,15-01-2021,Tovi Kohi,Nadila,18:25:54,"Vietnam Drip, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
1151813N,15-01-2021,Tovi Kohi,Nadila,18:25:54,"Mochacino, Ice",,1,0,21000,21000,0,,0,,0,21000,Transaksi,CASH,
11512M8R,15-01-2021,Tovi Kohi,Pipah,12:29:53,"Cappuchino, Classic",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
114213N7,14-01-2021,Tovi Kohi,Nadila,21:06:54,"Cappuchino, Classic",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
11419JSF,14-01-2021,Tovi Kohi,Nadila,19:55:09,"Vietnam Drip, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11419HSL,14-01-2021,Tovi Kohi,Nadila,19:34:39,"Mochacino, Ice",,1,0,21000,21000,0,,0,,0,21000,Transaksi,CASH,
11419HSL,14-01-2021,Tovi Kohi,Nadila,19:34:39,"Croissant,",,2,0,5000,10000,0,,0,,0,10000,Transaksi,CASH,
11419YVO,14-01-2021,Tovi Kohi,Nadila,19:33:37,"Cappuchino, Magic",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
11419YVO,14-01-2021,Tovi Kohi,Nadila,19:33:37,"Risoles,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
11419YVO,14-01-2021,Tovi Kohi,Nadila,19:33:37,"Croissant,",,1,0,5000,5000,0,,0,,0,5000,Transaksi,CASH,
11418C0V,14-01-2021,Tovi Kohi,Nadila,18:24:35,"V-60, Japstyle",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
114189NZ,14-01-2021,Tovi Kohi,Nadila,18:23:00,"Pink Story, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
114189NZ,14-01-2021,Tovi Kohi,Nadila,18:23:00,"Mochacino, Hot",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
114189NZ,14-01-2021,Tovi Kohi,Nadila,18:23:00,"To - Brew,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
11413XUW,14-01-2021,Tovi Kohi,Henggar Vyasto,13:17:26,"Vietnam Drip, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11413XUW,14-01-2021,Tovi Kohi,Henggar Vyasto,13:17:26,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11321W45,13-01-2021,Tovi Kohi,Nadila,21:22:53,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11321DF2,13-01-2021,Tovi Kohi,Nadila,21:08:51,"Vanilla Milk, Hot",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
11321DF2,13-01-2021,Tovi Kohi,Nadila,21:08:51,"Coffee Beer,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
11321DF2,13-01-2021,Tovi Kohi,Nadila,21:08:51,"Risoles,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
11321DF2,13-01-2021,Tovi Kohi,Nadila,21:08:51,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
1132075U,13-01-2021,Tovi Kohi,Nadila,20:39:27,"Mochacino, Hot",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
113191JE,13-01-2021,Tovi Kohi,Nadila,19:41:14,"Long Black,",,1,0,15000,15000,0,,1500,"% ,",0,13500,Transaksi,CASH,
11319CD3,13-01-2021,Tovi Kohi,Nadila,19:39:57,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
11318WBT,13-01-2021,Tovi Kohi,Nadila,18:43:31,"Dragon Tea, Ice",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
11318WBT,13-01-2021,Tovi Kohi,Nadila,18:43:31,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11318C7U,13-01-2021,Tovi Kohi,Nadila,18:42:38,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11318C7U,13-01-2021,Tovi Kohi,Nadila,18:42:38,"Pink Story, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11318PF5,13-01-2021,Tovi Kohi,Nadila,18:23:29,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
113174KY,13-01-2021,Tovi Kohi,Nadila,17:14:07,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
113174KY,13-01-2021,Tovi Kohi,Nadila,17:14:07,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
113174KY,13-01-2021,Tovi Kohi,Nadila,17:14:07,"Choco Latte, Hot",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
11316ZEZ,13-01-2021,Tovi Kohi,Nadila,16:55:04,"Lemon Tea, Ice",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
